FOD_ID,NWCG_REPORTING_UNIT_NAME,FIRE_YEAR,DISCOVERY_DATE,NWCG_CAUSE_CLASSIFICATION,NWCG_GENERAL_CAUSE,CONT_DATE,FIRE_SIZE,LATITUDE,LONGITUDE,STATE,FIPS_NAME,VALUE
201337903,Texas A & M Forest Service,2011,5/6/2011 0:00,Human,Missing data/not specified/undetermined,5/14/2011 0:00,89200.0,33.60996575,-100.6924122,TX,Dickens County,0
201338316,Texas A & M Forest Service,2011,6/18/2011 0:00,Human,Missing data/not specified/undetermined,6/22/2011 0:00,30000.0,27.1525,-98.35527778,TX,Brooks County,0
201338382,Texas A & M Forest Service,2011,6/20/2011 0:00,Human,Missing data/not specified/undetermined,6/27/2011 0:00,72473.0,32.0782,-100.4601833,TX,Coke County,0
201339499,Texas A & M Forest Service,2011,9/4/2011 0:00,Human,Missing data/not specified/undetermined,9/15/2011 0:00,41050.0,32.9731333,-94.4307,TX,Cass County,0
201339520,Texas A & M Forest Service,2011,9/4/2011 0:00,Human,Power generation/transmission/distribution,9/30/2011 0:00,34068.0,30.22777389,-97.211651,TX,Bastrop County,8
201430855,Nez Perce - Clearwater National Forests,2012,9/6/2012 0:00,Human,Missing data/not specified/undetermined,10/25/2012 0:00,48626.0,45.53416667,-116.2975,ID,Idaho County,0
201432957,Boise National Forest,2012,8/3/2012 0:00,Human,Equipment and vehicle use,10/22/2012 0:00,146832.0,43.71111111,-115.3655556,ID,Elmore County,3
201433054,Bridger-Teton National Forest,2012,6/24/2012 0:00,Human,Missing data/not specified/undetermined,10/23/2012 0:00,65220.0,42.43416667,-110.6005556,WY,Lincoln County,0
201433062,Bridger-Teton National Forest,2012,8/24/2012 0:00,Human,Recreation and ceremony,10/24/2012 0:00,29950.0,43.92555556,-110.2111111,WY,Teton County,4
201434273,Mendocino National Forest,2012,7/7/2012 0:00,Human,Missing data/not specified/undetermined,8/2/2012 0:00,29502.0,39.31833333,-122.7069444,CA,Colusa County,0
201434383,Plumas National Forest,2012,7/29/2012 0:00,Human,Recreation and ceremony,10/25/2012 0:00,75431.0,40.00694444,-121.2713889,CA,Plumas County,4
201504386,Fort Belknap Agency,2012,9/14/2012 0:00,Human,Equipment and vehicle use,9/19/2012 0:00,33318.0,48.3231,-108.6504,MT,Not Available,3
201507920,Okmulgee Field Office,2012,8/2/2012 0:00,Human,Smoking,8/18/2012 0:00,58501.0,35.9567,-96.4392,OK,Not Available,6
